source,config_id,run_dir,status,sampler_mode,composer_type,condition_mode,prompt_cache_path,gate_state,learning_rate,lambda_source,residual_scale,edit_scale,gate_max,dropout,batch_size,temperature,best_val_official_like@10,best_val_exact_R@10,best_val_attr_success@10,best_epoch,best_step,val_mean_rank_B
hpsearch,ov006,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v1_20260618_024432_long/gate_v1_ov006_balanced_length_b256_lr0.0003_src0.05_scale0.1_long,complete,balanced_length,,,,,0.0003,0.05,0.1,,,0.1,256,,0.73486328125,0.530517578125,0.856201171875,2,4000,69.747314453125
hpsearch,add_s001,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v2_20260618_141133_short/gate_v2_additivegate_add_s001_balanced_length_b128_lr0.0003_src0.02_scale0.02_short,complete,balanced_length,additive_gate,signed_direction,,,0.0003,0.02,0.02,1.0,1.5,0.1,128,0.05,0.720703125,0.51953125,0.83984375,12,300,68.359375
hpsearch,ov016,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v1_20260618_024432_long/gate_v1_ov016_balanced_length_b256_lr0.0003_src0.02_scale0.1_long,complete,balanced_length,,,,,0.0003,0.02,0.1,,,0.1,256,0.1,0.715576171875,0.5078125,0.849853515625,2,4000,76.33203125
hpsearch,cfg002,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v1_20260618_021602_short/gate_v1_cfg002_balanced_length_b128_lr0.0003_src0.02_scale0.1_short,complete,balanced_length,,,,,0.0003,0.02,0.1,,,0.1,,,0.697265625,0.515625,,12,300,
hpsearch,cfg002,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v1_20260618_021905_short/gate_v1_cfg002_balanced_length_b128_lr0.0003_src0.02_scale0.1_short,complete,balanced_length,,,,,0.0003,0.02,0.1,,,0.1,,,0.697265625,0.515625,,12,300,
hpsearch,cfg003,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v1_20260618_021905_short/gate_v1_cfg003_balanced_length_b128_lr0.0001_src0.0_scale0.1_short,complete,balanced_length,,,,,0.0001,0.0,0.1,,,0.1,,,0.6953125,0.50390625,,12,300,
hpsearch,add_l008,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v2_20260619_093758_long/gate_v2_additivegate_add_l008_balanced_length_b256_lr0.0005_src0.02_scale0.02_long,complete,balanced_length,additive_gate,signed_direction,,,0.0005,0.02,0.02,1.0,1.5,0.1,256,0.05,0.694091796875,0.499267578125,0.797119140625,2,4000,87.248779296875
hpsearch,cfg001,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v1_20260618_021602_short/gate_v1_cfg001_balanced_length_b128_lr0.0001_src0.02_scale0.1_short,complete,balanced_length,,,,,0.0001,0.02,0.1,,,0.1,,,0.693359375,0.498046875,,12,300,
hpsearch,cfg001,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v1_20260618_021905_short/gate_v1_cfg001_balanced_length_b128_lr0.0001_src0.02_scale0.1_short,complete,balanced_length,,,,,0.0001,0.02,0.1,,,0.1,,,0.693359375,0.498046875,,12,300,
metrics,manual,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/gate_v1_manual_balanced_length_b128_lr1em04_src0.02_scale0.1_20260618_021144_short,complete,balanced_length,,,,,0.0001,0.02,0.1,,,0.1,128,0.07,0.693359375,0.498046875,0.8203125,12,300,78.884765625
