objective,attribute,threshold,score,accuracy,precision,recall,balanced_accuracy,f1,positive_rate
accuracy,Big_Nose,0.7249999642372131,0.8300699591636658,0.8300699591636658,0.6913309097290039,0.5727291107177734,0.7440166473388672,0.6264660358428955,0.24880455434322357
accuracy,Black_Hair,0.7749999761581421,0.9015452861785889,0.9015452861785889,0.7735000252723694,0.7466216087341309,0.8444994688034058,0.7598232626914978,0.20858711004257202
accuracy,Blond_Hair,0.875,0.9509739875793457,0.9509739875793457,0.8647512197494507,0.8075916171073914,0.8923152685165405,0.8351945877075195,0.15382292866706848
accuracy,Blurry,0.949999988079071,0.9633563160896301,0.9633563160896301,0.6472222208976746,0.4957446753978729,0.7411623597145081,0.5614457726478577,0.04731464385986328
accuracy,Brown_Hair,0.75,0.8405899405479431,0.8405899405479431,0.683190643787384,0.6325892210006714,0.7696580290794373,0.6569169163703918,0.24125434458255768
accuracy,Bushy_Eyebrows,0.8999999761581421,0.9214778542518616,0.9214778542518616,0.825063943862915,0.5697633624076843,0.7748441100120544,0.6740492582321167,0.14249761402606964
accuracy,Chubby,0.949999988079071,0.9560577869415283,0.9560577869415283,0.7271523475646973,0.45148026943206787,0.7202176451683044,0.5570776462554932,0.06120702624320984
accuracy,Double_Chin,0.949999988079071,0.9642120003700256,0.9642120003700256,0.6964285969734192,0.47999998927116394,0.7346009016036987,0.568306028842926,0.04907635599374771
accuracy,Eyeglasses,0.8500000238418579,0.9960739016532898,0.9960739016532898,0.9657387733459473,0.9783080220222473,0.9878555536270142,0.9719828367233276,0.06961292773485184
accuracy,Goatee,0.925000011920929,0.9663764238357544,0.9663764238357544,0.7779329419136047,0.7609289884567261,0.8718246221542358,0.769336998462677,0.07369004189968109
accuracy,Gray_Hair,0.949999988079071,0.979262113571167,0.979262113571167,0.8171428442001343,0.7394002079963684,0.8654673099517822,0.7763300538063049,0.04867367818951607
accuracy,Heavy_Makeup,0.625,0.9144309759140015,0.9144309759140015,0.8773855566978455,0.9074957966804504,0.9131816625595093,0.89218670129776,0.3901444673538208
accuracy,High_Cheekbones,0.5999999642372131,0.8686767220497131,0.8686767220497131,0.8656094670295715,0.8377772569656372,0.8658313155174255,0.8514659404754639,0.4492877721786499
accuracy,Male,0.5999999642372131,0.9934564828872681,0.9934564828872681,0.994536817073822,0.9900685548782349,0.9930183291435242,0.9922976493835449,0.4257311224937439
accuracy,Mouth_Slightly_Open,0.5,0.9054713845252991,0.9054713845252991,0.9091778993606567,0.8930324912071228,0.9050357341766357,0.9010329246520996,0.48185431957244873
accuracy,Mustache,0.925000011920929,0.9624502658843994,0.9624502658843994,0.6154537200927734,0.6829511523246765,0.8301311731338501,0.6474480032920837,0.05048573017120361
accuracy,Narrow_Eyes,0.925000011920929,0.9310917854309082,0.9310917854309082,0.6065858006477356,0.23458445072174072,0.6111153364181519,0.33832770586013794,0.0750994086265564
accuracy,No_Beard,0.2750000059604645,0.9570644497871399,0.9570644497871399,0.9775488972663879,0.9700697660446167,0.9334622025489807,0.9737949371337891,0.8223687410354614
accuracy,Oval_Face,0.75,0.76131272315979,0.76131272315979,0.6614358425140381,0.3029649555683136,0.6213118433952332,0.4155780076980591,0.28011274337768555
accuracy,Pale_Skin,0.949999988079071,0.9603362083435059,0.9603362083435059,0.5928961634635925,0.2535046637058258,0.6228335499763489,0.35515546798706055,0.04308652505278587
accuracy,Pointy_Nose,0.7249999642372131,0.768007218837738,0.768007218837738,0.6461752653121948,0.41042402386665344,0.6604453325271606,0.5019989609718323,0.28489455580711365
accuracy,Receding_Hairline,0.925000011920929,0.944631814956665,0.944631814956665,0.667344868183136,0.45906227827072144,0.7206635475158691,0.5439469218254089,0.07192832231521606
accuracy,Rosy_Cheeks,0.925000011920929,0.9463934898376465,0.9463934898376465,0.6490335464477539,0.46980854868888855,0.7255845069885254,0.5450661778450012,0.06835455447435379
accuracy,Sideburns,0.925000011920929,0.9666280746459961,0.9666280746459961,0.7716049551963806,0.7315288782119751,0.857764482498169,0.7510327100753784,0.06880757212638855
accuracy,Smiling,0.574999988079071,0.9210247993469238,0.9210247993469238,0.9344510436058044,0.8997083902359009,0.9203364253044128,0.9167507290840149,0.48331403732299805
accuracy,Straight_Hair,0.7999999523162842,0.8449187278747559,0.8449187278747559,0.6791577339172363,0.46585068106651306,0.7044435143470764,0.5526354312896729,0.20561735332012177
accuracy,Wavy_Hair,0.7749999761581421,0.8641465902328491,0.8641465902328491,0.774117648601532,0.718471348285675,0.8191577196121216,0.7452572584152222,0.2765893042087555
accuracy,Wearing_Earrings,0.7999999523162842,0.9031056761741638,0.9031056761741638,0.7843196988105774,0.6785431504249573,0.8172850012779236,0.7276071310043335,0.19071827828884125
accuracy,Wearing_Hat,0.949999988079071,0.9893290400505066,0.9893290400505066,0.8589743375778198,0.9265957474708557,0.9595202207565308,0.8915045857429504,0.04731464385986328
accuracy,Wearing_Lipstick,0.625,0.9266119599342346,0.9266119599342346,0.8942266702651978,0.947516918182373,0.9286507964134216,0.9201008677482605,0.4459656774997711
accuracy,Wearing_Necklace,0.875,0.8837771415710449,0.8837771415710449,0.572864294052124,0.14273789525032043,0.5640711188316345,0.22853325307369232,0.12060200423002243
accuracy,Wearing_Necktie,0.925000011920929,0.9572154879570007,0.9572154879570007,0.7514843344688416,0.6139985918998718,0.7990477085113525,0.675819993019104,0.07263301312923431
accuracy,Young,0.2750000059604645,0.890622615814209,0.890622615814209,0.907277524471283,0.950647234916687,0.8322253227233887,0.92845618724823,0.7465646266937256
precision_recall_mid,5_o_Clock_Shadow,0.8500000238418579,0.7173553705215454,0.9349172115325928,0.7173553705215454,0.7402985095977783,0.8506309390068054,0.7286463975906372,0.11803492903709412
precision_recall_mid,Arched_Eyebrows,0.7249999642372131,0.6842617988586426,0.842603325843811,0.6999402046203613,0.6842617988586426,0.7910211086273193,0.6920121908187866,0.258418470621109
precision_recall_mid,Attractive,0.5249999761581421,0.8133930563926697,0.8111441135406494,0.8133930563926697,0.8264614939689636,0.8105039596557617,0.8198752403259277,0.5200583934783936
precision_recall_mid,Bags_Under_Eyes,0.6749999523162842,0.5677965879440308,0.8215634226799011,0.5677965879440308,0.5852948427200317,0.734346866607666,0.5764129161834717,0.2074294090270996
precision_recall_mid,Bald,0.8999999761581421,0.7558685541152954,0.9902853965759277,0.7558685541152954,0.7834550142288208,0.8890547752380371,0.7694146037101746,0.02068757265806198
precision_recall_mid,Bangs,0.824999988079071,0.8238519430160522,0.9484069347381592,0.8238519430160522,0.8246998190879822,0.8971894979476929,0.8242756724357605,0.14672572910785675
