query_id,query,sources,avg_kept_in_pool,avg_pred_hamming_kept,avg_query_margin_kept,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10,method
4,-Young,5355,260.3869281045752,5.458912268139067,0.1789403271010053,0.046125116713352,0.1686274509803921,0.2655462184873949,0.046125116713352,0.0445191409897287,0.0420354808590095,A_cal_query_only_accuracy
5,+Blond_Hair,5469,369.14847321265313,4.793312720743257,0.098691512974792,0.0784421283598464,0.2426403364417626,0.3660632656792832,0.0784421283598464,0.0657889925031986,0.0592430060340098,A_cal_query_only_accuracy
6,+Mustache,301,264.3887043189369,5.695664565032502,0.0455663663975622,0.1229235880398671,0.3255813953488372,0.4352159468438538,0.1229235880398671,0.0903654485049832,0.0691029900332226,A_cal_query_only_accuracy
7,-Young,5355,260.3869281045752,5.458912268139067,0.1789403271010053,0.046125116713352,0.1686274509803921,0.2655462184873949,0.046125116713352,0.0445191409897287,0.0420354808590095,A_cal_query_only_accuracy
8,"+Eyeglasses, +Smiling",612,224.0261437908497,5.735373186519722,0.2446542361057272,0.1715686274509804,0.4411764705882353,0.5915032679738562,0.1715686274509804,0.1375816993464056,0.1189542483660133,A_cal_query_only_accuracy
9,"+Black_Hair, -Wavy_Hair",2572,283.72395023328147,4.519902687792088,0.3200310278527473,0.0692068429237947,0.2301710730948678,0.3685847589424572,0.0692068429237947,0.0587869362363919,0.054898911353032,A_cal_query_only_accuracy
10,"-Male, -Mustache",27,488.5185185185185,6.537166445343583,0.7387586986577069,0.074074074074074,0.1851851851851851,0.4074074074074074,0.074074074074074,0.0444444444444444,0.0481481481481481,A_cal_query_only_accuracy
11,"+Chubby, -Young",584,185.0804794520548,6.3695429179766405,0.1336867757753966,0.0873287671232876,0.3647260273972603,0.5222602739726028,0.0873287671232876,0.0880136986301371,0.0700342465753428,A_cal_query_only_accuracy
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,75.70886075949367,5.963866571836833,0.2277343778670588,0.240506329113924,0.7088607594936709,0.7974683544303798,0.240506329113924,0.2354430379746833,0.1670886075949366,A_cal_query_only_accuracy
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,89.23529411764706,4.534381305470186,0.2439913543708184,0.0294117647058823,0.088235294117647,0.1764705882352941,0.0294117647058823,0.0176470588235294,0.0205882352941176,A_cal_query_only_accuracy
0,+Smiling,4786,421.4162139573757,8.723162414038276,0.4257848485961799,0.0768909318846636,0.2216882574174676,0.3069368992895946,0.0768909318846636,0.0596740493104881,0.0487672377768482,A_cal_query_only_balancedaccuracy
1,+Eyeglasses,2196,454.52777777777777,10.128248755614832,0.5457176330256767,0.1707650273224043,0.4453551912568306,0.5951730418943534,0.1707650273224043,0.1289617486338781,0.1132058287795978,A_cal_query_only_balancedaccuracy
2,-Heavy_Makeup,4087,193.96231954979203,8.647915615672613,0.284638331215423,0.055297284071446,0.1869341815512601,0.2835820895522388,0.055297284071446,0.0446293124541226,0.0385612919011493,A_cal_query_only_balancedaccuracy
3,+Male,1595,498.8702194357367,9.626099557188985,0.4911597808513522,0.1128526645768025,0.3059561128526645,0.4426332288401254,0.1128526645768025,0.0910344827586208,0.0873354231974917,A_cal_query_only_balancedaccuracy
4,-Young,5355,371.4509803921569,8.638804706338407,0.4006425822649349,0.0423902894491129,0.161531279178338,0.2569561157796451,0.0423902894491129,0.0410084033613441,0.0391036414565819,A_cal_query_only_balancedaccuracy
5,+Blond_Hair,5469,437.5408667032364,7.967955176105314,0.3612620398922624,0.0729566648381788,0.2384348144084841,0.3629548363503382,0.0729566648381788,0.0638142256353983,0.0573779484366427,A_cal_query_only_balancedaccuracy
6,+Mustache,301,429.2093023255814,8.789311516720591,0.4039440169880952,0.1162790697674418,0.3588039867109635,0.4717607973421927,0.1162790697674418,0.0970099667774084,0.0764119601328904,A_cal_query_only_balancedaccuracy
7,-Young,5355,371.4509803921569,8.638804706338407,0.4006425822649349,0.0423902894491129,0.161531279178338,0.2569561157796451,0.0423902894491129,0.0410084033613441,0.0391036414565819,A_cal_query_only_balancedaccuracy
